transaction_id,injected_error_type,true_label,true_expected_net,true_explanation
TXN100000,CLEAN,MATCH,3975.37,"Clean transaction, no discrepancy."
TXN100001,MISSING_SETTLEMENT,EXCEPTION,7744.94,Settlement record missing entirely.
TXN100002,CLEAN,MATCH,26042.68,"Clean transaction, no discrepancy."
TXN100003,CLEAN,MATCH,1985.07,"Clean transaction, no discrepancy."
TXN100004,FEE_MISMATCH,EXCEPTION,33867.22,Applied fee 973.39 does not match configured fee schedule (779.22).
TXN100005,MISSING_SETTLEMENT,EXCEPTION,58561.83,Settlement record missing entirely.
TXN100006,CLEAN,MATCH,20799.95,"Clean transaction, no discrepancy."
TXN100007,CLEAN,MATCH,19700.64,"Clean transaction, no discrepancy."
TXN100008,CLEAN,MATCH,26863.78,"Clean transaction, no discrepancy."
TXN100009,CLEAN,MATCH,50490.84,"Clean transaction, no discrepancy."
TXN100010,PARTIAL_SETTLEMENT,EXCEPTION,3614.18,Only part of the settlement amount was paid out; remainder unexplained.
TXN100011,CLEAN,MATCH,12290.89,"Clean transaction, no discrepancy."
TXN100012,LEDGER_MISMATCH,EXCEPTION,7574.01,Merchant ledger booked 7244.25 instead of the settled net 7574.01.
TXN100013,IDENTITY_NOISE,MATCH,5869.54,Merchant name differs only by formatting/legal-suffix noise; same entity.
TXN100014,IDENTITY_NOISE,MATCH,54936.42,Merchant name differs only by formatting/legal-suffix noise; same entity.
TXN100015,CLEAN,MATCH,14714.62,"Clean transaction, no discrepancy."
TXN100016,MISSING_SETTLEMENT,EXCEPTION,50819.29,Settlement record missing entirely.
TXN100017,TAX_MISMATCH,EXCEPTION,16888.97,Applied GST 6.52 does not match expected GST (67.11).
TXN100018,AMOUNT_MISMATCH,EXCEPTION,26501.0,Unexplained settlement drift of 199.6 not attributable to fee/tax.
TXN100019,CLEAN,MATCH,57661.55,"Clean transaction, no discrepancy."
TXN100020,IDENTITY_NOISE,MATCH,3003.77,Merchant name differs only by formatting/legal-suffix noise; same entity.
TXN100021,CLEAN,MATCH,56814.7,"Clean transaction, no discrepancy."
TXN100022,CLEAN,MATCH,51566.24,"Clean transaction, no discrepancy."
TXN100023,LEDGER_MISMATCH,EXCEPTION,42384.95,Merchant ledger booked 41995.47 instead of the settled net 42384.95.
TXN100024,CLEAN,MATCH,36617.12,"Clean transaction, no discrepancy."
TXN100025,CLEAN,MATCH,55650.25,"Clean transaction, no discrepancy."
TXN100026,IDENTITY_NOISE,MATCH,14207.61,Merchant name differs only by formatting/legal-suffix noise; same entity.
TXN100027,CLEAN,MATCH,44916.18,"Clean transaction, no discrepancy."
TXN100028,CLEAN,MATCH,3152.37,"Clean transaction, no discrepancy."
TXN100029,DATE_ANOMALY_BAD,EXCEPTION,8897.13,Settlement delayed far beyond normal processing window; requires review.
TXN100030,DATE_ANOMALY_NORMAL,MATCH,10687.33,Settlement delayed by a few days; within normal processing window.
TXN100031,PARTIAL_SETTLEMENT,EXCEPTION,27371.38,Only part of the settlement amount was paid out; remainder unexplained.
TXN100032,CLEAN,MATCH,39738.95,"Clean transaction, no discrepancy."
TXN100033,AMOUNT_MISMATCH,EXCEPTION,37498.77,Unexplained settlement drift of 162.54 not attributable to fee/tax.
TXN100034,DUPLICATE,EXCEPTION,6711.53,Duplicate payment record for same transaction.
TXN100035,CLEAN,MATCH,1757.69,"Clean transaction, no discrepancy."
TXN100036,CLEAN,MATCH,49108.9,"Clean transaction, no discrepancy."
TXN100037,LEDGER_MISMATCH,EXCEPTION,37599.83,Merchant ledger booked 37312.61 instead of the settled net 37599.83.
TXN100038,MISSING_SETTLEMENT,EXCEPTION,18402.36,Settlement record missing entirely.
TXN100039,CLEAN,MATCH,5739.8,"Clean transaction, no discrepancy."
TXN100040,CLEAN,MATCH,8193.77,"Clean transaction, no discrepancy."
TXN100041,MISSING_BANK_CREDIT,EXCEPTION,15458.07,Settlement was booked but no corresponding bank credit was ever received.
TXN100042,CLEAN,MATCH,56701.95,"Clean transaction, no discrepancy."
TXN100043,LEDGER_MISMATCH,EXCEPTION,5721.94,Merchant ledger booked 5579.38 instead of the settled net 5721.94.
TXN100044,CLEAN,MATCH,34348.78,"Clean transaction, no discrepancy."
TXN100045,CLEAN,MATCH,1945.76,"Clean transaction, no discrepancy."
TXN100046,CLEAN,MATCH,37614.94,"Clean transaction, no discrepancy."
TXN100047,LEDGER_MISMATCH,EXCEPTION,8657.55,Merchant ledger booked 8258.98 instead of the settled net 8657.55.
TXN100048,CLEAN,MATCH,23128.23,"Clean transaction, no discrepancy."
TXN100049,AMOUNT_MISMATCH,EXCEPTION,52065.08,Unexplained settlement drift of 425.16 not attributable to fee/tax.
TXN100050,DATE_ANOMALY_NORMAL,MATCH,13082.14,Settlement delayed by a few days; within normal processing window.
TXN100051,CLEAN,MATCH,3997.19,"Clean transaction, no discrepancy."
TXN100052,CLEAN,MATCH,39213.76,"Clean transaction, no discrepancy."
TXN100053,AMOUNT_MISMATCH,EXCEPTION,46117.13,Unexplained settlement drift of -404.14 not attributable to fee/tax.
TXN100054,BANK_AMOUNT_MISMATCH,EXCEPTION,47884.65,Bank credited 47563.62 instead of the settled net 47884.65.
TXN100055,CLEAN,MATCH,31957.19,"Clean transaction, no discrepancy."
